Type,CiscoPID,Vendor,MFGPartNumber,SerialNumber
SFP-10G-SR-S,10-3105-01,CISCO-AVAGO,SFBR-709SMZ-CS2,AVD2136DXUL
SFP-10G-ZR-S,10-3111-01,CISCO-FUJITSU,FIM35051/207,FLJ2024K03B
SFP-10G-ZR-S,10-3111-01,CISCO-SUMITOMO,SPP5100ZR-C7,ECL1916002P
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2050K0JZ-B
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2050K0JZ-A
DWDM-SFP10G-61.41,10-2746-01,CISCO-SUMITOMO,SPP5100DMC1-F200,ECL1745005N
DWDM-SFP10G-61.41,10-2746-01,CISCO-SUMITOMO,SPP5100DMC1-F200,ECL1736004W
SFP-10G-LR-X,10-2632-01,CISCO-SUMITOMO,SPP5310LR-C5-M,SPC223200WM
SFP-10G-LR-X,10-2632-01,CISCO-SUMITOMO,SPP5310LR-C5-M,SPC223200WQ
SFP-10G-LR,10-2457-02,CISCO-SUMITOMO,SPP5200LR-C5,ECL161100SV
SFP-10G-LR,10-2457-02,CISCO-EXCELIGHT,SPP5101LR-C1,ECL1405042D
SFP-10G-LRM,10-2456-03,CISCO-OPLINK,TPP1XGFLMCCISE2G,OPM25280JR0
SFP-10G-LRM,10-2456-03,CISCO-OPLINK,TPP1XGFLMCCISE2G,OPM2420005T
SFP-10G-ZR,10-3107-01,CISCO-SUMITOMO,SPP5100ZR-C5,ECL1814008P
SFP-10G-ZR,10-3107-01,CISCO-SUMITOMO,SPP5100ZR-C5,ECL1814008Q
SFP-10G-SR,10-2415-03,CISCO-FINISAR,FTLX8571D3BCL-C2,FNS17400Z7J
SFP-10G-SR,10-2415-03,CISCO-FINISAR,FTLX8571D3BCL-C2,FNS18140Z9E
SFP-10G-ER,10-2531-02,CISCO-OPNEXT,TRS7050EN-S102,ONT15380184
SFP-10G-ER,10-2531-02,CISCO-FINISAR,FTLX1671D3BCL-C2,FNS16030KMX
SFP-10G-AOC2M,10-2898-01,CISCO-AVAGO,AFBR-2CAR02Z-CS1,A4Z2228K0FE-B
SFP-10G-AOC2M,10-2898-01,CISCO-AVAGO,AFBR-2CAR02Z-CS1,A4Z2228K0FE-A
SFP-10G-AOC10M,10-2846-01,CISCO-AVAGO,AFBR-2CAR10Z-CS1,A4Z2206K0CR-A
SFP-10G-AOC10M,10-2846-01,CISCO-AVAGO,AFBR-2CAR10Z-CS1,A4Z2206K0CR-B
SFP-10G-SR-S,10-3105-01,CISCO-AVAGO,SFBR-709SMZ-CS2,AVD2136D71E
SFP-10G-SR-S,10-3105-01,CISCO-AVAGO,SFBR-709SMZ-CS2,AVD2136DXUL
SFP-10G-ZR-S,10-3111-01,CISCO-FUJITSU,FIM35051/207,FLJ2024K03B
SFP-10G-ZR-S,10-3111-01,CISCO-SUMITOMO,SPP5100ZR-C7,ECL1916002P
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2050K0JZ-B
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2050K0JZ-A
SFP-10G-AOC1M,10-2843-01,CISCO-AVAGO,AFBR-7CER01Z-CS1,AVE1717K13N-B
SFP-10G-AOC1M,10-2843-01,CISCO-AVAGO,AFBR-7CER01Z-CS1,AVE1717K13N-A
SFP-10G-ER-S,10-3109-01,CISCO-OCLARO,TRS7050EN-S131,ONT2229000V
SFP-10G-ER-S,10-3109-01,CISCO-OCLARO,TRS7050EN-S131,ONT2229000Y
SFP-10G-SR,10-2415-03,CISCO-FINISAR,FTLX8571D3BCL-C2,FNS1750125P
SFP-10G-SR,10-2415-03,CISCO-AVAGO,SFBR-709SMZ-CS1,AVA1738A2ZP
SFP-10G-SR,10-2415-03,CISCO-LUMENTUM,PLRXPL-SC-S43-CS,JUR2129G0TD
